user_query,intent,action,source
What to do if Cuts?,Cuts,Wash the cut properly to prevent infection and stop the bleeding by applying pressure for 1-2minutes until bleeding stops. Apply Petroleum Jelly to make sure that the wound is moist for quick healing. Finally cover the cut with a sterile bandage. Pain relievers such as acetaminophen can be applied.,first_aid_dataset
How to cure Cuts?,Cuts,Wash the cut properly to prevent infection and stop the bleeding by applying pressure for 1-2minutes until bleeding stops. Apply Petroleum Jelly to make sure that the wound is moist for quick healing. Finally cover the cut with a sterile bandage. Pain relievers such as acetaminophen can be applied.,first_aid_dataset
Which medicine to apply for Cuts?,Cuts,Wash the cut properly to prevent infection and stop the bleeding by applying pressure for 1-2minutes until bleeding stops. Apply Petroleum Jelly to make sure that the wound is moist for quick healing. Finally cover the cut with a sterile bandage. Pain relievers such as acetaminophen can be applied.,first_aid_dataset
what to apply on cuts?,Cuts,Wash the cut properly to prevent infection and stop the bleeding by applying pressure for 1-2minutes until bleeding stops. Apply Petroleum Jelly to make sure that the wound is moist for quick healing. Finally cover the cut with a sterile bandage. Pain relievers such as acetaminophen can be applied.,first_aid_dataset
Cuts,Cuts,Wash the cut properly to prevent infection and stop the bleeding by applying pressure for 1-2minutes until bleeding stops. Apply Petroleum Jelly to make sure that the wound is moist for quick healing. Finally cover the cut with a sterile bandage. Pain relievers such as acetaminophen can be applied.,first_aid_dataset
Hi,greeting,"Hi , i am your paramedic assistant",first_aid_dataset
How are you,greeting,"Hi , i am your paramedic assistant",first_aid_dataset
Is anyone there?,greeting,"Hi , i am your paramedic assistant",first_aid_dataset
Hello,greeting,"Hi , i am your paramedic assistant",first_aid_dataset
Whats up,greeting,"Hi , i am your paramedic assistant",first_aid_dataset
cya,goodbye,Sad to see you go :(,first_aid_dataset
See you later,goodbye,Sad to see you go :(,first_aid_dataset
Goodbye,goodbye,Sad to see you go :(,first_aid_dataset
I am Leaving,goodbye,Sad to see you go :(,first_aid_dataset
Have a Good day,goodbye,Sad to see you go :(,first_aid_dataset
bye,goodbye,Sad to see you go :(,first_aid_dataset
